1,158,39
2,389,21
3,540,24
4,632,18
5,994,29
6,1108,29
7,1217,37
8,106,92
9,200,94
10,465,88
11,534,100
12,590,88
13,696,84
14,804,62
15,913,52
16,1016,91
17,1209,125
18,55,134
19,144,143
20,249,117
21,361,162
22,539,179
23,623,134
24,758,139
25,1106,152
26,904,88
27,919,141
28,957,120
29,1106,152
30,1248,145
31,93,174
32,219,204
33,312,188
34,473,205
35,565,227
36,604,233
37,660,183
38,786,187
39,843,178
40,942,220
41,985,201
42,1213,202
43,34,221
44,160,246
45,251,261
46,329,238
47,389,221
48,488,267
49,637,268
50,698,232
51,821,242
52,884,227
53,953,266
54,1000,250
55,1110,249
56,1254,262
57,75,270
58,198,284
59,219,312
60,269,305
61,351,318
62,394,303
63,500,356
64,563,344
65,630,332
66,670,323
67,744,309
68,830,292
69,910,286
70,1003,302
71,1096,303
72,1188,314
73,75,319
74,116,370
75,177,351
76,253,350
77,304,394
78,370,381
79,416,373
80,517,394
81,610,407
82,645,386
83,729,371
84,786,347
85,835,329
86,921,363
87,1011,386
88,1055,394
89,1089,365
90,1150,365
91,1239,368
92,42,417
93,47,449
94,124,433
95,165,424
96,353,447
97,385,438
98,438,419
99,492,426
100,577,454
101,664,424
102,776,379
103,849,370
104,922,404
105,1122,422
106,1201,432
107,1259,434
108,1104,506
109,405,515
110,468,457
111,505,499
112,528,485
113,614,490
114,675,469
115,776,440
116,923,488
117,1024,528
118,923,550
119,1232,567
120,39,605
121,84,607
122,146,606
123,303,602
124,393,580
125,557,526
126,717,499
127,835,527
128,983,701
129,1016,562
130,529,586
131,578,552
132,678,551
133,789,605
134,869,578
135,1055,598
136,1202,653
137,249,653
138,421,617
139,524,624
140,677,611
141,819,624
142,922,645
143,1018,631
144,56,716
145,99,711
146,160,706
147,205,696
148,268,688
149,321,678
150,381,656
151,411,688
152,454,658
153,477,693
154,584,670
155,621,715
156,691,716
157,752,720
158,852,680
159,857,819
160,1060,717
161,1142,707
162,1261,710
163,154,740
164,217,739
165,336,758
166,462,732
167,559,750
168,594,777
169,689,765
170,744,773
171,1119,907
172,952,769
173,1083,808
174,1189,775
175,1247,821
176,35,802
177,88,790
178,180,783
179,290,795
180,358,809
181,430,788
182,464,799
183,529,769
184,652,820
185,723,869
186,801,851
187,919,825
188,1034,827
189,89,875
190,144,908
191,219,858
192,236,925
193,408,855
194,429,880
195,482,877
196,557,837
197,567,889
198,854,932
199,1047,924
